,URL
0,https://www.goodreads.com/book/show/42844155-harry-potter-and-the-sorcerer-s-stone
1,https://www.goodreads.com/book/show/28187.The_Lightning_Thief
2,https://www.goodreads.com/book/show/2767052-the-hunger-games
3,https://www.goodreads.com/book/show/41865.Twilight
4,https://www.goodreads.com/book/show/3636.The_Giver
5,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars
6,https://www.goodreads.com/book/show/256683.City_of_Bones
7,https://www.goodreads.com/book/show/13335037-divergent
8,https://www.goodreads.com/book/show/19063.The_Book_Thief
9,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird
10,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower
11,https://www.goodreads.com/book/show/5907.The_Hobbit
12,https://www.goodreads.com/book/show/38709.Holes
13,https://www.goodreads.com/book/show/231804.The_Outsiders
14,https://www.goodreads.com/book/show/119322.The_Golden_Compass
15,https://www.goodreads.com/book/show/1656001.The_Host
16,https://www.goodreads.com/book/show/99561.Looking_for_Alaska
17,https://www.goodreads.com/book/show/345627.Vampire_Academy
18,https://www.goodreads.com/book/show/113436.Eragon
19,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
20,https://www.goodreads.com/book/show/24770.Uglies
21,https://www.goodreads.com/book/show/7171637-clockwork-angel
22,https://www.goodreads.com/book/show/24337.Ella_Enchanted
23,https://www.goodreads.com/book/show/40940121-bridge-to-terabithia
24,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice
25,https://www.goodreads.com/book/show/1934.Little_Women
26,https://www.goodreads.com/book/show/39280444-speak
27,https://www.goodreads.com/book/show/6186357-the-maze-runner
28,https://www.goodreads.com/book/show/24178.Charlotte_s_Web
29,https://www.goodreads.com/book/show/7736182-the-lost-hero
30,https://www.goodreads.com/book/show/157993.The_Little_Prince
31,https://www.goodreads.com/book/show/3236307-graceling
32,https://www.goodreads.com/book/show/78411.The_Bad_Beginning
33,https://www.goodreads.com/book/show/47281.Number_the_Stars
34,https://www.goodreads.com/book/show/375802.Ender_s_Game
